SIGLA;COD;POP-2004
MG;31;8170
MG;31;24595
MG;31;7060
MG;31;8870
MG;31;2779
MG;31;10186
MG;31;9482
MG;31;4084
MG;31;18748
MG;31;2827
MG;31;3974
MG;31;18594
MG;31;5252
MG;31;13197
MG;31;9562
MG;31;6405
MG;31;5520
MG;31;9563
MG;31;44279
MG;31;5084
MG;31;5615
MG;31;109904
MG;31;20872
MG;31;1694
MG;31;583386
MG;31;9816
MG;31;26047
MG;31;8558
MG;31;3528
MG;31;24264
MG;31;10803
MG;31;28734
MG;31;102588
MG;31;9105
MG;31;2719
MG;31;3286
MG;31;3775
MG;31;3318
MG;31;5465
MG;31;3512
MG;31;4004
MG;31;5395
MG;31;9865
MG;31;5881
MG;31;5260
MG;31;10514
MG;31;4425
MG;31;4055
MG;31;14838
MG;31;4333
MG;31;6543
MG;31;71871
MG;31;5213
MG;31;8120
MG;31;6515
MG;31;5366
MG;31;4761
MG;31;6798
MG;31;3050
MG;31;44238
MG;31;3875
MG;31;10212
MG;31;3280
MG;31;19463
MG;31;4803
MG;31;6764
MG;31;200636
MG;31;5203
MG;31;5858
MG;31;6793
MG;31;3923
MG;31;5117
MG;31;4564
MG;31;4791
MG;31;3118
MG;31;5648
MG;31;8910
MG;31;5368
MG;31;14645
MG;31;4674
MG;31;1403
MG;31;1889
MG;31;7596
MG;31;23268
MG;31;9620
MG;31;6838
MG;31;5167
MG;31;13555
MG;31;17771
MG;31;58784
MG;31;21033
MG;31;31169
MG;31;4222
MG;31;10717
MG;31;3399
MG;31;6703
MG;31;2703
MG;31;9736
MG;31;3773
MG;31;21736
MG;31;2475
MG;31;3864
MG;31;5692
MG;31;6364
MG;31;13224
MG;31;2197
MG;31;11409
MG;31;9999
MG;31;5952
MG;31;65869
MG;31;6175
MG;31;3738
MG;31;2515
MG;31;10349
MG;31;4910
MG;31;22828
MG;31;6126
MG;31;5446
MG;31;8654
MG;31;3032
MG;31;9600
MG;31;4799
MG;31;6520
MG;31;49204
MG;31;3622
MG;31;6871
MG;31;5298
MG;31;2864
MG;31;2712
MG;31;3438
MG;31;4249
MG;31;5482
MG;31;11808
MG;31;255651
MG;31;15196
MG;31;1433
MG;31;29190
MG;31;14527
MG;31;10119
MG;31;4731
MG;31;19848
MG;31;8763
MG;31;4347
MG;31;7034
MG;31;50845
MG;31;7651
MG;31;6715
MG;31;8726
MG;31;6495
MG;31;5863
MG;31;9578
MG;31;5287
MG;31;22443
MG;31;7330
MG;31;6883
MG;31;11105
MG;31;161208
MG;31;3614
MG;31;2849
MG;31;9290
MG;31;29479
MG;31;8057
MG;31;8221
MG;31;5367
MG;31;11429
MG;31;6578
MG;31;6611
MG;31;7759
MG;31;5657
MG;31;2543
MG;31;24578
MG;31;5415
MG;31;6159
MG;31;15929
MG;31;16751
MG;31;229133
MG;31;3977
MG;31;9577
MG;31;6635
MG;31;104846
MG;31;9603
MG;31;40882
MG;31;3404
MG;31;18638
MG;31;11626
MG;31;11833
MG;31;88770
MG;31;29800
MG;31;3972
MG;31;23424
MG;31;2493
MG;31;11472
MG;31;13310
MG;31;13757
MG;31;11113
MG;31;21739
MG;31;12155
MG;31;20660
MG;31;8301
MG;31;9108
MG;31;15096
MG;31;82232
MG;31;6412
MG;31;14003
MG;31;5225
MG;31;91407
MG;31;6526
MG;31;30923
MG;31;4055
MG;31;13948
MG;31;12045
MG;31;7786
MG;31;19758
MG;31;2911
MG;31;32109
MG;31;4710
MG;31;67511
MG;31;62849
MG;31;3554
MG;31;8822
MG;31;5675
MG;31;6257
MG;31;12905
MG;31;8444
MG;31;5234
MG;31;22986
MG;31;5068
MG;31;14646
MG;31;6451
MG;31;70461
MG;31;42369
MG;31;3580
MG;31;10040
MG;31;4791
MG;31;3590
MG;31;4590
MG;31;19946
MG;31;493121
MG;31;3947
MG;31;8245
MG;31;6164
MG;31;15437
MG;31;7495
MG;31;42833
MG;31;4625
MG;31;12188
MG;31;16469
MG;31;8411
MG;31;43865
MG;31;20706
MG;31;19366
MG;31;3595
MG;31;6217
MG;31;6510
MG;31;85380
MG;31;3380
MG;31;4838
MG;31;51972
MG;31;5662
MG;31;16255
MG;31;5698
MG;31;8350
MG;31;6860
MG;31;6575
MG;31;5630
MG;31;17039
MG;31;6941
MG;31;37015
MG;31;5125
MG;31;19272
MG;31;5702
MG;31;23375
MG;31;71561
MG;31;21429
MG;31;25645
MG;31;11007
MG;31;6656
MG;31;15109
MG;31;51086
MG;31;4428
MG;31;13211
MG;31;2752
MG;31;4303
MG;31;3472
MG;31;11797
MG;31;6476
MG;31;7716
MG;31;4960
MG;31;27514
MG;31;3634
MG;31;13025
MG;31;7341
MG;31;17286
MG;31;12678
MG;31;33529
MG;31;3879
MG;31;3197
MG;31;21580
MG;31;5777
MG;31;10054
MG;31;6713
MG;31;31203
MG;31;3813
MG;31;12816
MG;31;9536
MG;31;12437
MG;31;4623
MG;31;4769
MG;31;7030
MG;31;2393
MG;31;7904
MG;31;17222
MG;31;18051
MG;31;23130
MG;31;12817
MG;31;48616
MG;31;4660
MG;31;22198
MG;31;18640
MG;31;336132
MG;31;6616
MG;31;8092
MG;31;2912
MG;31;3664
MG;31;7171
MG;31;97628
MG;31;26515
MG;31;21975
MG;31;2670
MG;31;40864
MG;31;5653
MG;31;3362
MG;31;4789
MG;31;7404
MG;31;25208
MG;31;9653
MG;31;4337
MG;31;17830
MG;31;70537
MG;31;3936
MG;31;9156
MG;31;7552
MG;31;14988
MG;31;47469
MG;31;5715
MG;31;30302
MG;31;10553
MG;31;4886
MG;31;2315
MG;31;4572
MG;31;2456
MG;31;39830
MG;31;2126
MG;31;2966
MG;31;4473
MG;31;7015
MG;31;31902
MG;31;28812
MG;31;68208
MG;31;5351
MG;31;5673
MG;31;17551
MG;31;5983
MG;31;4721
MG;31;7661
MG;31;1728
MG;31;6308
MG;31;9762
MG;31;13679
MG;31;79068
MG;31;81599
MG;31;20196
MG;31;18978
MG;31;22111
MG;31;15597
MG;31;8648
MG;31;2036
MG;31;2081
MG;31;103670
MG;31;5323
MG;31;134622
MG;31;79480
MG;31;5072
MG;31;9418
MG;31;4779
MG;31;5802
MG;31;17097
MG;31;3804
MG;31;3726
MG;31;24398
MG;31;6581
MG;31;1922
MG;31;12527
MG;31;9326
MG;31;2833
MG;31;60300
MG;31;1887
MG;31;3170
MG;31;3989
MG;31;6303
MG;31;13200
MG;31;19986
MG;31;7414
MG;31;3877
MG;31;3001
MG;31;5631
MG;31;3852
MG;31;5077
MG;31;4299
MG;31;8384
MG;31;3755
MG;31;7650
MG;31;6739
MG;31;2551
MG;31;17358
MG;31;5220
MG;31;7927
MG;31;10569
MG;31;52326
MG;31;12165
MG;31;23344
MG;31;30756
MG;31;8804
MG;31;15831
MG;31;148712
MG;31;9159
MG;31;29033
MG;31;56720
MG;31;11349
MG;31;3938
MG;31;38357
MG;31;9492
